name,latitude,longitude,dpcapacity
State St & Harrison St,41.87395806,-87.62773949,19
Wilton Ave & Diversey Pkwy,41.93250008,-87.65268082,19
Morgan St & 18th St,41.858086,-87.651073,15
Racine Ave & 18th St,41.85818061,-87.65648665,15
Wood St & North Ave,41.910329,-87.672516,15
Wood St & Division St,41.90332,-87.67273,15
Loomis St & Taylor St,41.869417,-87.660996,15
Sheffield Ave & Kingsbury St,41.90959193,-87.65349723,15
Aberdeen St & Jackson Blvd,41.87772613,-87.65478743,15
May St & Taylor St,41.8694821,-87.6554864,15
Orleans St & Elm St,41.902924,-87.637715,15
Fairbanks Ct & Grand Ave,41.89186,-87.62062,15
Michigan Ave & Pearson St,41.89766,-87.62351,23
McClurg Ct & Illinois St,41.89102,-87.6173,23
Larrabee St & North Ave,41.91021,-87.6435,19
Larrabee St & Menomonee St,41.91468,-87.64332,15
Noble St & Milwaukee Ave,41.90068,-87.6626,15
Ashland Ave & Augusta Blvd,41.899643,-87.6677,15
Franklin St & Chicago Ave,41.89680204,-87.63563839,23
Racine Ave & Congress Pkwy,41.87464,-87.65703,19
State St & Van Buren St,41.877181,-87.627844,27
Cannon Dr & Fullerton Ave,41.92675599,-87.63442878,15
Streeter Dr & Illinois St,41.891071,-87.6122,35
Franklin St & Jackson Blvd,41.87770796,-87.63532114,27
Dearborn St & Adams St,41.87935636,-87.62979104,19
Wabash Ave & Cermak Rd,41.85323876,-87.62533709,15
Michigan Ave & Washington St,41.88389277,-87.62464914,43
State St & Randolph St,41.8847302,-87.62773357,27
Michigan Ave & Congress Pkwy,41.8760656,-87.62443336,15
Wells St & Walton St,41.89993001,-87.63443007,19
State St & Kinzie St,41.88918,-87.6277,15
Larrabee St & Kingsbury St,41.897764,-87.642884,27
Dearborn St & Monroe St,41.88131982,-87.62952092,23
Clark St & Congress Pkwy,41.87593267,-87.63058454,27
Clark St & Randolph St,41.88457623,-87.63188991,31
Michigan Ave & Lake St,41.88605812,-87.62428934,23
Wells St & Erie St,41.893832,-87.634195,19
Ogden Ave & Chicago Ave,41.89636246,-87.65406127,19
Halsted St & James M Rochford St,41.865861,-87.646611,15
Desplaines St & Kinzie St,41.88871604,-87.64444785,19
Clinton St & Roosevelt Rd,41.86711778,-87.64108796,15
Ashland Ave & Armitage Ave,41.91785887,-87.668919,15
Wabash Ave & Roosevelt Rd,41.867173,-87.62595501,19
Dayton St & North Ave,41.91057803,-87.64942193,19
Wood St & Milwaukee Ave,41.907655,-87.672552,15
McCormick Place,41.85137517,-87.61883465,15
